θρόνος|2362
θρῆνος|2355
θρῆσκος|2357
θυγάτηρ|2364
θυγάτριον|2365
θυμιατήριον|2369
θυμιάω|2370
θυμομαχέω|2371
θυμίαμα|2368
θυμός|2372
θυμόω|2373
θυρεός|2375
θυρωρός|2377
θυρίς|2376
θυσιαστήριον|2379
θυσία|2378
θυάτειρα|2363
θωμᾶς|2381
θάλασσα|2281
θάλπω|2282
θάμαρ|2283
θάμβος|2285
θάνατος|2288
θάπτω|2290
θάρα|2291
θάρσος|2294
θέατρον|2302
θέλημα|2307
θέλησις|2308
θέλω|2309
θέρμη|2329
θέρος|2330
θήκη|2336
θήρα|2339
θόρυβος|2351
θύελλα|2366
θύινος|2367
θύρα|2374
θύω|2380
θώραξ|2382
θῆλυς|2338
καθαιρέω|2507
καθαρισμός|2512
καθαρίζω|2511
καθαρός|2513
καθαρότης|2514
καθαίρεσις|2506
καθαίρω|2508
καθεξῆς|2517
καθεύδω|2518
καθηγητής|2519
καθημερινός|2522
καθοπλίζω|2528
καθοράω|2529
καθά|2505
καθάπερ|2509
καθάπτω|2510
καθέδρα|2515
καθέζομαι|2516
καθήκω|2520
καθίζω|2523
καθίημι|2524
καθίστημι|2525
καθό|2526
καθόλου|2527
καθότι|2530
καθώς|2531
καινάν|2536
καινός|2537
καινότης|2538
καιρός|2540
καισάρεια|2542
καιάφας|2533
κακολογέω|2551
κακοπαθέω|2553
κακοποιέω|2554
κακοποιός|2555
κακοπάθεια|2552
κακουχέω|2558
κακοήθεια|2550
κακοῦργος|2557
κακία|2549
κακός|2556
κακόω|2559
κακῶς|2560
καλλιέλαιος|2565
καλοδιδάσκαλος|2567
καλοποιέω|2569
καλάμη|2562
καλέω|2564
καλός|2570
καλύπτω|2572
καλῶς|2573
καμμύω|2576
κανανίτης|2581
κανδάκη|2582
κανών|2583
κανᾶ|2580
καπερναούμ|2584
καπηλεύω|2585
καπνός|2586
καππαδοκία|2587
καρδιογνώστης|2589
καρδία|2588
καρποφορέω|2592
καρποφόρος|2593
καρπός|2590
καρτερέω|2594
καταβαρέω|2599
καταβαίνω|2597
καταβιβάζω|2601
καταβολή|2602
καταβραβεύω|2603
καταβάλλω|2598
καταγγελεύς|2604
καταγγέλλω|2605
καταγελάω|2606
καταγινώσκω|2607
καταγωνίζομαι|2610
καταδικάζω|2613
καταδιώκω|2614
καταδουλόω|2615
καταδυναστεύω|2616
καταδέω|2611
καταθεματίζω|2653
καταισχύνω|2617
κατακαλύπτω|2619
κατακαυχάομαι|2620
κατακαίω|2618
κατακλείω|2623
κατακληρονομέω|2624
κατακλυσμός|2627
κατακλάω|2622
κατακλίνω|2625
κατακλύζω|2626
κατακολουθέω|2628
κατακρημνίζω|2630
κατακρίνω|2632
κατακυριεύω|2634
κατακόπτω|2629
καταλαλιά|2636
καταλαλέω|2635
καταλαμβάνω|2638
καταλείπω|2641
καταλιθάζω|2642
καταλλαγή|2643
καταλλάσσω|2644
καταλέγω|2639
καταλύω|2647
καταμανθάνω|2648
καταμαρτυρέω|2649
καταμένω|2650
καταμόνας|2651
καταναλίσκω|2654
καταναρκάω|2655
κατανεύω|2656
κατανοέω|2657
καταντάω|2658
κατανύσσομαι|2660
καταξιόω|2661
καταπατέω|2662
καταπαύω|2664
καταπλέω|2668
καταποντίζω|2670
καταπονέω|2669
καταπέτασμα|2665
καταπίνω|2666
καταπίπτω|2667
καταργέω|2673
καταριθμέω|2674
καταρτισμός|2677
καταρτίζω|2675
καταράομαι|2672
κατασείω|2678
κατασκευάζω|2680
κατασκηνόω|2681
κατασκιάζω|2683
κατασκοπέω|2684
κατασκάπτω|2679
κατασκήνωσις|2682
κατασοφίζομαι|2686
καταστολή|2689
καταστρηνιάω|2691
καταστροφή|2692
καταστρέφω|2690
καταστρώννυμι|2693
καταστέλλω|2687
κατασφραγίζω|2696
κατασφάζω|2695
κατασύρω|2694
κατατομή|2699
κατατρέχω|2701
κατατίθημι|2698
καταφεύγω|2703
καταφθείρω|2704
καταφιλέω|2705
καταφρονητής|2707
καταφρονέω|2706
καταφέρω|2702
καταχθόνιος|2709
καταχράομαι|2710
καταχέω|2708
καταψύχω|2711
κατενώπιον|2714
κατεξουσιάζω|2715
κατεργάζομαι|2716
κατεσθίω|2719
κατευθύνω|2720
κατεφίστημι|2721
κατείδωλος|2712
κατηγορέω|2723
κατηγορία|2724
κατηχέω|2727
κατισχύω|2729
κατιόω|2728
κατοικητήριον|2732
κατοικέω|2730
κατοικία|2733
κατοπτρίζομαι|2734
κατοίκησις|2731
κατά|2596
κατάβασις|2600
κατάγνυμι|2608
κατάγω|2609
κατάδηλος|2612
κατάθεμα|2652
κατάκειμαι|2621
κατάκριμα|2631
κατάκρισις|2633
κατάλαλος|2637
κατάλειμμα|2640
κατάλοιπος|2645
κατάλυμα|2646
κατάνυξις|2659
κατάπαυσις|2663
κατάρα|2671
κατάρτισις|2676
κατάσκοπος|2685
κατάστημα|2688
κατάσχεσις|2697
κατέναντι|2713
κατέρχομαι|2718
κατέχω|2722
κατήγορος|2725
κατήφεια|2726
κατόρθωμα|2735
κατώτερος|2737
καυματίζω|2739
καυσόω|2741
καυτηριάζω|2743
καυχάομαι|2744
καί|2532
καίπερ|2539
καίτοι|2543
καίτοιγε|2544
καίω|2545
καύσων|2742
καύχημα|2745
καύχησις|2746
καῖσαρ|2541
καῦμα|2738
καῦσις|2740
κεγχρεαί|2747
κεδρών|2748
κειρία|2750
κελεύω|2753
κενοδοξία|2754
κενοφωνία|2757
κεντυρίων|2760
κενόδοξας|2755
κενός|2756
κενόω|2758
κενῶς|2761
κεραμεύς|2763
κεραμικός|2764
κεραία|2762
κερδαίνω|2770
κερματιστής|2773
κεράμιον|2765
κεράννυμι|2767
